+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                         ;
+-----------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; mem_wrapper_inst|memory|altsyncram_component|auto_generated                                                                                   ; 5     ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mem_wrapper_inst|memory                                                                                                                       ; 5     ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mem_wrapper_inst                                                                                                                              ; 35    ; 0              ; 27           ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp_msb_mux                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp_lsb_mux                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdemp_eq_comp_msb_mux                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdemp_eq_comp_lsb_mux                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp_msb                                  ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp_lsb                                  ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp1_msb                                 ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrfull_eq_comp1_lsb                                 ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdempty_eq_comp_msb                                 ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdempty_eq_comp_lsb                                 ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdempty_eq_comp1_msb                                ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdempty_eq_comp1_lsb                                ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|ws_dgrp|dffpipe8                                    ; 6     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|ws_dgrp                                             ; 6     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rs_dgwp|dffpipe6                                    ; 6     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rs_dgwp                                             ; 6     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|fifo_ram                                            ; 20    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|wrptr_g1p                                           ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated|rdptr_g1p                                           ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mmul_fifo_wrapper_inst|mull_fifo_inst|gen_a_fifos[7].inst|dcfifo_component|auto_generated                                                     ; 13    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
